LOCATION,Country,VARIABLE,Variable,FREQUENCY,Frequency,TIME,Time,Value,Flag,Codes,Flags,,,,,
AUS,Australia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,3.036703426,,,,,,,,
AUS,Australia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,11.78182203,,,,,,,,
AUS,Australia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,2.601786912,
AUS,Australia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,3.601394405,
AUS,Australia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,9.707274623,
AUS,Australia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,14.43586562,
AUT,Austria,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.456514542,,,,,,,,
AUT,Austria,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,12.31641218,,,,,,,,
AUT,Austria,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.651339049,
AUT,Austria,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,7.235110031,
AUT,Austria,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,9.635193243,
AUT,Austria,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,15.9266066,
BEL,Belgium,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,3.887874517,,,,,,,,
BEL,Belgium,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,17.43519267,,,,,,,,
BEL,Belgium,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,2.578793953,
BEL,Belgium,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,5.127295978,
BEL,Belgium,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,15.72586676,
BEL,Belgium,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,19.03563247,
CAN,Canada,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.041936442,,,,,,,,
CAN,Canada,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,15.85808122,,,,,,,,
CAN,Canada,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,4.073363098,
CAN,Canada,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,5.80039693,
CAN,Canada,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,14.50385761,
CAN,Canada,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,18.87825647,
CZE,Czechia,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,3.810855026,,,,,,,,
CZE,Czechia,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,11.23940127,,,,,,,,
CZE,Czechia,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,2.866323474,
CZE,Czechia,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,5.527553226,
CZE,Czechia,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,9.038918214,
CZE,Czechia,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,12.91934602,
DNK,Denmark,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,3.91410909,,,,,,,,
DNK,Denmark,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,12.03754363,,,,,,,,
DNK,Denmark,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,2.715443083,
DNK,Denmark,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,5.050030161,
DNK,Denmark,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,8.453188023,
DNK,Denmark,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,14.96225634,
FIN,Finland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,1.824170661,,,,,,,,
FIN,Finland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,6.548966547,,,,,,,,
FIN,Finland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,0.00110111,
FIN,Finland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,3.314268748,
FIN,Finland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,5.246973505,
FIN,Finland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,8.683927004,
FRA,France,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,3.464446767,,,,,,,,
FRA,France,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,16.4740413,,,,,,,,
FRA,France,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,1.990170406,
FRA,France,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,4.7189102,
FRA,France,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,13.49487997,
FRA,France,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,19.36571382,
DEU,Germany,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,3.438490912,,,,,,,,
DEU,Germany,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,8.15876958,,,,,,,,
DEU,Germany,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,1.14413248,
DEU,Germany,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.293755717,
DEU,Germany,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,6.559760017,
DEU,Germany,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,9.818828567,
GRC,Greece,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.069554851,,,,,,,,
GRC,Greece,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,14.38780575,,,,,,,,
GRC,Greece,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.240732995,
GRC,Greece,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.562823931,
GRC,Greece,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,9.455718698,
GRC,Greece,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,17.33838362,
HUN,Hungary,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.427285696,,,,,,,,
HUN,Hungary,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,18.7346374,,,,,,,,
HUN,Hungary,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.114230223,
HUN,Hungary,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.652050393,
HUN,Hungary,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,12.65308997,
HUN,Hungary,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,22.38558852,
ISL,Iceland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,6.239944853,,,,,,,,
ISL,Iceland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,16.55920014,,,,,,,,
ISL,Iceland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,1.701650732,
ISL,Iceland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,10.30578845,
ISL,Iceland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,8.940239568,
ISL,Iceland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,21.41513933,
IRL,Ireland,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,5.499319462,,,,,,,,
IRL,Ireland,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,26.36730525,,,,,,,,
IRL,Ireland,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.881450859,
IRL,Ireland,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,7.302380542,
IRL,Ireland,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,20.90268512,
IRL,Ireland,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,30.80874377,
ITA,Italy,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,4.593495466,,,,,,,,
ITA,Italy,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,18.41305847,,,,,,,,
ITA,Italy,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,3.864436415,
ITA,Italy,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,6.000848501,
ITA,Italy,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,16.39406713,
ITA,Italy,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,21.48613762,
JPN,Japan,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,3.157891603,,,,,,,,
JPN,Japan,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,7.189690825,,,,,,,,
JPN,Japan,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,2.035673455,
JPN,Japan,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,4.51840803,
JPN,Japan,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,5.665285293,
JPN,Japan,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,9.068535154,
KOR,Korea,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,2.592776223,,,,,,,,
KOR,Korea,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,10.01811954,,,,,,,,
KOR,Korea,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,1.478560533,
KOR,Korea,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,4.118307248,
KOR,Korea,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,8.328275468,
KOR,Korea,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,12.4035524,
LUX,Luxembourg,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,8.498211147,,,,,,,,
LUX,Luxembourg,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,16.61699913,,,,,,,,
LUX,Luxembourg,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,5.347798851,
LUX,Luxembourg,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,11.09947479,
LUX,Luxembourg,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,12.38868869,
LUX,Luxembourg,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,19.89981313,
MEX,Mexico,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,1.226749493,,,,,,,,
MEX,Mexico,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,17.00154748,,,,,,,,
MEX,Mexico,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,-0.001326088,
MEX,Mexico,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,2.40576374,
MEX,Mexico,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,14.39769366,
MEX,Mexico,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,19.76943008,
NLD,Netherlands,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,6.061355334,,,,,,,,
NLD,Netherlands,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,15.72617446,,,,,,,,
NLD,Netherlands,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,5.143643247,
NLD,Netherlands,HIGH_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,9.01684835,
NLD,Netherlands,LOW_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,13.0701215,
NLD,Netherlands,HIGH_YO2Y,Weekly,tracker,(yo2y),-,Confidence,interval,-,High,W,Weekly,2022W21,29-May-22,19.12880128,
NZL,New,Zealand,TRACKER_YOY,"Weekly tracker, year-on-year (YoY)",W,Weekly,2022W21,29-May-22,0.174032331,,,,,,,
NZL,New,Zealand,TRACKER_YO2Y,"Weekly tracker, year over 2 years (yo2y)",W,Weekly,2022W21,29-May-22,9.222608061,,,,,,,
NZL,New,Zealand,LOW_YOY,Weekly,tracker,(yoy),-,Confidence,interval,-,Low,W,Weekly,2022W21,29-May-22,-0.655591382
